id,years_of_experience,interview_score,name,hired
1,18,0.54,Stacia Ketchen,FALSE
2,6,0.29,Maryann Rumney,FALSE
3,6,,Tristam Oliveti,FALSE
4,2,0.51,Andrea Gianinotti,FALSE
5,2,0.74,Karena Sheran,FALSE
6,13,,Ilsa Reade,FALSE
7,9,0.4,Rafaellle Goodbody,FALSE
8,17,0.72,Kenna Lisett,TRUE
9,15,0.51,Lanita Hebblewhite,FALSE
10,19,0.9,Allison Willets,TRUE
11,7,0.59,Vergil Amaya,FALSE
12,14,0.31,Ariadne Mc Dermid,FALSE
13,5,0.1,Danell Antonsen,FALSE
14,10,0.52,Vaughan Jacop,FALSE
15,17,0.73,Ranique Van Zon,TRUE
16,4,0.95,Ayn Chaffey,TRUE
17,15,0.66,Drusie McLuckie,TRUE
18,19,0.37,Stillman Bloom,FALSE
19,20,0.28,Cammy Bayldon,FALSE
20,3,1,Anatollo Aylott,TRUE
21,2,0.04,Hestia Eliet,FALSE
22,12,0.04,Tate Ahlf,FALSE
23,10,,Isabelita Skellorne,FALSE
24,11,0.36,Anne-corinne Cauldfield,FALSE
25,13,0.57,Bunny Farrier,FALSE
26,3,0.19,Arri McDoual,FALSE
27,10,0.22,Paten Alekseev,FALSE
28,2,0.49,Karel Colqueran,FALSE
29,15,0.28,Russ Scrinage,FALSE
30,3,0.6,Danika Cawood,FALSE
31,4,0.22,Allie Stennard,FALSE
32,19,0.48,Mireille Cammell,TRUE
33,6,0.29,Orelie Bowater,FALSE
34,13,0.31,Chrystel Yukhtin,FALSE
35,7,0.99,Bren Currier,TRUE
36,6,0.92,Barby McIlwreath,TRUE
37,8,0.9,Chaunce Eberdt,TRUE
38,1,0.82,Diannne Vannar,TRUE
39,18,0.8,Hanni Conkey,TRUE
40,17,0.06,Jesselyn Wattinham,FALSE
41,14,0.73,Margret Staley,TRUE
42,10,,Dalston Fontin,FALSE
43,7,,Stillman Duffet,FALSE
44,11,0.97,Salomi Blumson,TRUE
45,20,0.32,Fayina Baddow,FALSE
46,5,0.27,Flor Ismay,FALSE
47,5,0.11,Shaylyn Ferbrache,FALSE
48,19,,Dev Vedenyakin,FALSE
49,20,0.59,Madeline McKelvey,TRUE
50,6,0.52,Iago Luetkemeyer,FALSE
51,17,0.08,Kory Grimsdell,FALSE
52,1,0.54,Martainn Askaw,FALSE
53,5,0.47,Teriann Phinnessy,FALSE
54,2,0.84,Gwen Cressingham,TRUE
55,18,0,Gale Knowles,FALSE
56,9,0.59,Rosana Stephens,FALSE
57,7,0.11,Desmund MacDiarmid,FALSE
